CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,New_Revenue
13,Company_0013,Healthcare,Latin America,2018,3001.84,0.1518,20290.01,0.0262,48.1,46.4,41.4,56.4,99.84,1540.98,8850.54,169.6
14,Company_0014,Energy,Europe,2022,1270.13,0.1447,13505.04,0.0396,44.3,34.2,46.8,52.0,92.78,1494.6,1600.05,167.24
15,Company_0015,Retail,Asia-Pacific,2018,5022.17,0.2153,39069.28,0.1401,67.2,74.8,74.5,52.3,84.98,3271.97,5841.13,1690.88
16,Company_0016,Finance,Europe,2022,2117.99,0.1354,6527.19,-0.0347,51.0,67.5,35.6,49.8,38.54,2374.94,1744.07,127.62
17,Company_0017,Healthcare,North America,2022,1613.12,0.0751,14971.16,0.08,52.5,66.1,50.8,40.6,49.93,628.96,2867.35,391.82
18,Company_0018,Healthcare,Asia-Pacific,2024,808.64,0.018,11368.03,-0.0002,46.5,50.3,44.3,44.9,62.41,507.71,714.99,254.82
19,Company_0019,Retail,North America,2018,509.41,0.0717,6492.43,0.127,53.6,58.1,71.2,31.5,27.67,56.69,1039.58,254.71
20,Company_0020,Finance,Asia-Pacific,2020,941.61,0.2103,12149.12,0.0487,56.1,51.1,60.6,56.5,45.94,1094.23,836.05,224.16
21,Company_0021,Energy,Middle East-Africa,2021,499.19,0.0447,6260.24,0.0505,37.9,36.4,38.0,39.2,29.64,487.33,969.28,63.41
22,Company_0022,Manufacturing,Latin America,2019,1728.71,0.1412,11901.8,0.171,46.9,31.3,75.9,33.6,67.81,2152.17,4435.32,734.55
23,Company_0023,Finance,Middle East-Africa,2022,3438.73,0.182,41891.7,-0.0253,59.2,58.1,54.1,65.4,216.86,2537.28,2084.94,899.85
24,Company_0024,Retail,North America,2023,913.57,0.1371,4310.17,0.0651,47.2,46.2,50.0,45.3,34.28,1114.23,1415.46,147.7
25,Company_0025,Healthcare,Latin America,2023,2124.19,0.1439,23137.89,0.0374,46.1,35.5,47.8,55.0,144.12,2138.24,3510.48,322.1
26,Company_0026,Energy,Asia-Pacific,2021,676.91,0.1593,7242.15,0.0873,60.5,64.6,71.6,45.2,19.43,71.11,1677.17,290.85
27,Company_0027,Finance,Latin America,2023,887.38,0.1428,2934.42,0.1851,55.2,66.7,69.4,29.4,26.11,403.91,1481.74,275.57
28,Company_0028,Manufacturing,Europe,2020,619.88,0.2165,7721.0,0.0076,53.5,47.2,51.9,61.3,28.87,490.6,1189.45,89.57
29,Company_0029,Manufacturing,Latin America,2023,246.36,0.0576,3409.41,-0.0338,45.2,38.6,55.1,41.8,9.89,238.03,610.49,112.87
30,Company_0030,Technology,Europe,2019,1068.94,0.1344,6637.06,-0.0067,51.0,57.6,41.9,53.5,59.19,205.05,2030.35,133.15
31,Company_0031,Technology,Latin America,2019,1199.81,0.0109,15295.97,0.0337,50.6,52.4,58.6,40.9,42.59,1304.32,1674.63,599.9
32,Company_0032,Retail,Europe,2022,2312.54,-0.0044,9224.43,0.0545,51.3,71.3,47.6,35.0,60.45,1990.98,1652.56,771.93
33,Company_0033,Finance,North America,2018,1913.72,0.1151,19519.25,0.058,53.7,42.4,70.1,48.5,82.07,1600.05,4449.01,956.86
34,Company_0034,Finance,Middle East-Africa,2024,1931.92,0.1526,17054.49,0.1762,44.0,42.5,53.9,35.5,95.18,983.08,5173.37,147.82
35,Company_0035,Healthcare,Asia-Pacific,2020,554.56,0.2178,5296.65,0.1637,54.2,43.1,79.6,39.8,11.08,517.27,1622.18,212.68
36,Company_0036,Healthcare,Latin America,2022,1512.7,0.2652,21350.88,0.1412,62.8,49.6,87.1,51.8,74.08,209.49,4260.51,688.23
37,Company_0037,Healthcare,Middle East-Africa,2020,3320.32,0.1992,44677.48,0.226,63.5,60.6,89.0,40.9,107.41,632.79,8279.36,1596.45
38,Company_0038,Technology,Asia-Pacific,2018,1430.68,0.1636,17770.52,0.1077,45.8,41.0,50.4,45.9,53.61,1612.98,3016.85,121.1
39,Company_0039,Finance,Asia-Pacific,2023,3944.26,0.1296,24787.21,0.1276,57.5,53.9,76.6,42.0,116.56,2171.9,9677.82,1972.13
40,Company_0040,Finance,Europe,2023,4506.5,0.0281,62828.84,0.1063,51.6,43.0,65.6,46.3,338.88,2639.7,7121.21,2253.25
41,Company_0041,Manufacturing,North America,2024,908.75,0.1112,3789.58,0.0949,50.5,50.4,62.3,38.7,52.56,355.99,1805.64,317.56
42,Company_0042,Technology,North America,2018,673.27,0.1974,8914.02,0.0776,64.3,64.8,77.6,50.5,19.1,487.36,923.55,321.06
43,Company_0043,Energy,Middle East-Africa,2022,643.54,0.1739,4464.8,0.0222,62.7,65.9,67.6,54.5,35.49,111.2,847.39,271.3
44,Company_0044,Technology,North America,2024,379.44,0.0428,1383.17,-0.0373,33.3,36.5,24.1,39.4,26.33,197.5,907.53,7.31
45,Company_0045,Energy,Latin America,2018,762.89,0.1568,8416.45,0.0409,56.5,53.9,64.1,51.5,29.08,639.28,1247.2,283.48
46,Company_0046,Manufacturing,North America,2021,2553.87,0.1517,14749.53,0.0896,51.3,49.7,58.0,46.3,173.91,1920.22,2631.52,598.43
47,Company_0047,Retail,Middle East-Africa,2019,234.43,0.141,1388.52,0.0551,51.3,54.8,53.1,46.1,4.88,351.54,235.57,50.29
48,Company_0048,Finance,North America,2024,530.48,0.1183,3539.66,-0.0246,46.4,30.9,59.5,48.8,35.86,341.77,1404.67,227.94
49,Company_0049,Manufacturing,Latin America,2024,1003.26,0.1599,3776.48,0.0384,50.2,46.5,53.4,50.8,47.98,643.89,2201.55,211.05
50,Company_0050,Finance,Europe,2022,593.46,0.1618,3041.8,0.0347,57.3,57.6,63.1,51.3,15.2,477.74,1106.87,211.69
51,Company_0051,Healthcare,Middle East-Africa,2020,758.16,0.0815,2321.25,0.0456,51.1,66.7,44.4,42.2,29.19,277.81,1139.03,134.93
52,Company_0052,Retail,Europe,2021,766.14,0.1473,6393.4,0.0844,41.9,23.5,57.9,44.2,60.65,1016.54,1208.24,187.43
53,Company_0053,Retail,Europe,2022,915.73,0.1086,3673.05,0.0994,49.3,52.9,57.0,37.9,59.38,825.23,589.35,245.77
54,Company_0054,Manufacturing,Europe,2018,658.12,0.0308,7365.53,0.015,44.1,59.3,30.1,43.0,33.07,242.81,1077.52,44.59
55,Company_0055,Retail,Asia-Pacific,2018,621.51,0.0863,3621.83,0.1187,44.1,43.2,55.9,33.2,11.23,752.53,1546.71,162.61
56,Company_0056,Energy,Asia-Pacific,2018,2109.1,0.0262,30208.41,0.1292,54.0,72.0,56.1,33.8,82.78,312.28,3100.31,707.82
57,Company_0057,Retail,Europe,2018,2286.46,0.1788,30764.3,0.0724,56.9,45.7,69.2,55.7,64.97,3373.87,3335.83,877.55
58,Company_0058,Finance,Middle East-Africa,2020,417.22,0.1414,2700.8,0.0965,54.7,68.3,54.9,41.0,6.25,547.07,225.0,81.27
59,Company_0059,Finance,Latin America,2021,158.9,0.0987,1970.15,0.1189,47.9,47.3,62.6,33.8,7.62,144.84,261.33,54.69
60,Company_0060,Finance,Latin America,2023,2308.52,0.2052,29177.26,-0.0268,59.3,65.8,48.3,63.8,166.77,590.55,1300.49,332.69
61,Company_0061,Finance,North America,2019,463.98,0.1241,6884.87,0.1238,45.7,51.3,48.9,36.9,26.58,186.23,893.57,45.84
62,Company_0062,Energy,Middle East-Africa,2020,1272.73,0.0341,12948.88,-0.0053,50.6,65.5,40.2,46.2,34.97,625.18,2248.87,301.25
63,Company_0063,Technology,Asia-Pacific,2020,366.51,0.0936,1460.03,0.0015,47.1,44.8,47.7,48.9,18.38,160.33,952.94,94.91
64,Company_0064,Healthcare,Europe,2023,2720.11,0.218,29273.98,0.0637,53.8,32.6,68.8,60.0,206.8,2166.65,5316.33,902.42
65,Company_0065,Manufacturing,North America,2023,6506.57,0.0798,68317.39,-0.1001,39.5,33.6,31.5,53.5,394.32,9254.84,8514.29,965.86
66,Company_0066,Finance,Latin America,2019,1246.34,0.1365,13286.22,0.0623,49.0,45.0,53.8,48.2,72.62,899.66,2231.66,278.19
67,Company_0067,Retail,Asia-Pacific,2019,1026.72,0.1646,6864.42,0.1187,37.3,22.3,48.1,41.4,79.85,1053.61,2309.37,37.66
68,Company_0068,Finance,Asia-Pacific,2023,875.24,0.1554,11654.88,-0.0652,47.3,47.3,45.7,49.0,57.7,931.27,643.22,190.57
69,Company_0069,Retail,Europe,2018,1895.54,0.267,27511.25,0.1262,63.5,45.7,89.2,55.7,37.08,2502.52,3890.95,947.77
70,Company_0070,Healthcare,Latin America,2020,1631.7,0.0494,9158.03,0.0011,45.7,56.7,33.3,47.1,56.02,240.43,4555.01,171.23
71,Company_0071,Healthcare,Middle East-Africa,2022,2213.76,0.0554,8983.06,0.0645,49.4,44.4,64.7,39.1,171.7,1474.5,2762.39,1096.44
72,Company_0072,Healthcare,Asia-Pacific,2019,706.6,0.0504,3769.28,0.0112,41.6,36.6,43.9,44.3,31.29,846.95,1460.22,177.47
73,Company_0073,Retail,Europe,2019,1391.42,0.1022,17875.09,0.0901,46.8,41.7,56.2,42.5,24.79,1726.5,3552.75,383.44
74,Company_0074,Finance,Middle East-Africa,2023,750.15,0.186,8341.46,0.1217,44.9,36.8,54.5,43.4,31.58,1048.91,1334.9,74.23
75,Company_0075,Healthcare,Latin America,2021,523.01,0.0581,5560.93,0.0953,39.4,29.4,54.6,34.3,30.75,566.9,1200.28,160.35
76,Company_0076,Energy,Asia-Pacific,2022,1065.6,0.1868,8334.58,0.0497,52.3,48.2,55.7,53.1,85.06,472.29,1361.33,207.86
77,Company_0077,Retail,Middle East-Africa,2022,574.93,0.1221,5711.28,0.0167,54.9,62.2,51.6,50.8,18.78,464.5,727.37,149.61
78,Company_0078,Retail,Middle East-Africa,2019,2493.91,0.0535,16695.49,0.0451,48.6,59.5,42.7,43.7,114.69,362.32,5409.2,475.82
79,Company_0079,Finance,Middle East-Africa,2018,599.84,0.0149,5234.41,0.0959,31.2,25.6,37.9,30.1,42.93,603.25,1357.74,69.82
80,Company_0080,Retail,Asia-Pacific,2021,1414.43,0.0283,17704.08,0.0983,41.0,38.4,50.1,34.5,49.32,1239.06,4020.55,391.56
81,Company_0081,Retail,Asia-Pacific,2022,718.82,0.08,10620.42,0.0886,54.2,66.7,57.4,38.6,12.69,742.95,763.45,234.36
82,Company_0082,Healthcare,North America,2019,1331.34,0.1099,18891.59,-0.0398,38.0,21.7,42.1,50.3,101.75,1866.81,2224.07,263.25
83,Company_0083,Finance,Latin America,2022,759.91,0.2008,10795.6,0.0484,53.9,52.5,53.8,55.3,33.58,807.17,855.88,113.8
84,Company_0084,Healthcare,Europe,2024,454.84,0.1679,3559.91,0.0057,58.1,69.9,48.5,55.9,20.56,249.54,318.49,74.53
85,Company_0085,Healthcare,Middle East-Africa,2021,1538.62,0.0697,13271.33,0.0965,53.2,59.2,63.1,37.4,82.29,581.95,2320.36,639.76
86,Company_0086,Finance,North America,2021,930.02,0.1445,10665.15,-0.0035,56.7,59.0,55.0,56.0,9.53,1205.77,1334.77,281.42
87,Company_0087,Manufacturing,Europe,2024,1339.68,0.2191,18844.41,0.0816,59.4,53.4,69.9,54.8,100.72,498.45,1575.58,439.19
88,Company_0088,Healthcare,North America,2020,812.25,0.2324,3820.77,0.0302,67.2,72.7,70.1,58.7,28.67,265.0,1009.21,299.48
89,Company_0089,Energy,Asia-Pacific,2024,432.87,0.1011,2879.0,-0.0815,45.1,67.9,28.2,39.3,16.36,168.5,606.47,21.26
90,Company_0090,Energy,Middle East-Africa,2023,2340.75,0.1775,10933.54,0.1152,47.6,44.3,54.2,44.2,51.94,1901.57,6956.92,266.18
91,Company_0091,Retail,Europe,2023,1836.71,0.2034,18999.1,0.0482,64.2,57.1,77.5,57.9,66.99,503.01,4513.52,918.35
92,Company_0092,Energy,Europe,2019,737.4,0.0296,4922.58,0.1393,34.7,39.6,39.0,25.5,48.87,1042.21,500.33,48.29
93,Company_0093,Retail,Europe,2021,1151.53,0.0893,7960.86,-0.0666,30.5,12.0,37.8,41.7,76.0,1672.89,3087.29,221.95
94,Company_0094,Manufacturing,Europe,2020,2274.27,0.2532,8758.19,0.0296,51.5,15.2,77.3,62.0,171.72,3327.99,4737.89,1018.14
95,Company_0095,Finance,Europe,2020,796.38,0.1019,5731.97,0.0349,50.2,55.6,48.6,46.5,30.44,123.26,2171.31,177.82
96,Company_0096,Finance,North America,2022,887.74,-0.0557,11851.31,0.0689,31.5,33.4,32.0,29.0,52.92,1264.74,1202.25,138.97
97,Company_0097,Finance,Middle East-Africa,2022,1300.55,0.1127,7539.13,-0.0428,42.1,34.3,45.1,46.9,59.18,1946.12,2160.6,314.67
98,Company_0098,Energy,Asia-Pacific,2024,795.23,0.1875,9019.74,0.0881,40.5,11.9,61.5,48.2,52.71,1128.76,2179.39,189.64
99,Company_0099,Manufacturing,Asia-Pacific,2020,1998.12,0.1204,21091.29,0.1838,45.1,44.8,57.9,32.6,119.64,2076.68,2360.65,344.05
100,Company_0100,Energy,Asia-Pacific,2024,974.35,0.1629,13019.07,0.0832,41.9,33.9,44.2,47.7,34.84,1053.97,2717.22,19.9
101,Company_0101,Energy,Asia-Pacific,2024,633.45,0.1763,2905.91,0.0565,52.1,57.1,49.7,49.6,21.26,171.76,1628.75,71.74
102,Company_0102,Manufacturing,North America,2022,1679.16,0.0987,24735.8,-0.0464,41.1,29.7,43.7,50.0,46.46,2223.23,4955.86,411.36
103,Company_0103,Manufacturing,Latin America,2021,493.0,0.0888,4925.83,-0.0042,52.8,68.0,41.2,49.2,24.83,90.46,646.15,86.51
104,Company_0104,Manufacturing,Middle East-Africa,2024,4493.62,0.1292,67160.32,0.0461,59.6,49.4,64.6,64.9,348.12,2448.23,4895.28,1851.58
105,Company_0105,Manufacturing,Europe,2018,3320.09,0.1307,46276.01,0.0129,54.4,49.3,50.2,63.6,79.7,4939.01,4406.32,771.42
106,Company_0106,Finance,Latin America,2021,1570.97,0.1232,8888.86,0.1218,52.4,50.9,68.7,37.7,26.18,1085.95,4534.79,624.33
107,Company_0107,Technology,Asia-Pacific,2020,1481.09,0.1257,5441.43,0.0874,57.0,80.6,48.8,41.6,27.19,420.06,1973.82,199.62
108,Company_0108,Technology,Latin America,2020,1433.26,0.0751,8696.57,0.2385,36.8,22.7,70.2,17.6,92.9,2088.28,2741.87,512.15
109,Company_0109,Manufacturing,Middle East-Africa,2024,778.71,0.165,7265.92,-0.0187,46.6,42.1,42.7,54.9,26.87,1150.77,1175.22,83.37
110,Company_0110,Technology,Europe,2021,1350.35,0.156,6831.62,0.0523,59.1,73.1,54.8,49.5,34.71,488.64,2012.76,299.64
111,Company_0111,Technology,Europe,2022,574.68,0.0398,2878.85,-0.0468,47.9,53.0,52.4,38.3,19.94,753.24,565.16,262.16
112,Company_0112,Manufacturing,Middle East-Africa,2022,1560.36,0.0967,13342.84,-0.1056,39.2,47.6,31.3,38.7,86.09,1008.92,2875.28,200.58
113,Company_0113,Technology,Middle East-Africa,2023,2013.22,0.1256,6843.38,0.1006,48.1,40.7,63.4,40.2,97.19,1276.21,5281.72,682.62
114,Company_0114,Energy,Asia-Pacific,2020,841.63,0.0879,3755.9,0.0848,53.0,64.8,56.1,38.0,52.22,393.69,524.93,251.72
115,Company_0115,Retail,Europe,2019,723.01,0.1582,5777.13,-0.0098,52.5,57.6,44.9,55.1,24.39,117.56,1968.82,100.72
116,Company_0116,Retail,Latin America,2023,469.31,0.116,1763.46,0.0565,53.8,53.8,63.7,43.8,19.54,223.02,1015.44,190.39
117,Company_0117,Manufacturing,North America,2022,3042.91,0.1301,23616.19,0.006,61.4,74.3,51.9,58.0,52.15,533.38,6213.15,809.98
118,Company_0118,Finance,North America,2021,764.36,0.096,6640.79,0.0154,52.6,45.9,63.0,48.8,11.55,1065.61,1578.21,357.42
119,Company_0119,Manufacturing,Middle East-Africa,2022,954.21,0.0004,8029.86,0.0276,43.0,52.7,37.5,38.7,40.42,979.41,1183.86,197.84
120,Company_0120,Finance,Asia-Pacific,2021,1353.04,-0.003,18171.46,-0.0128,47.9,46.6,53.9,43.2,42.1,1814.79,2080.79,676.52
121,Company_0121,Retail,North America,2023,1336.15,0.1554,12507.34,-0.0002,52.2,29.0,69.5,58.0,70.68,1475.38,3338.0,668.07
122,Company_0122,Manufacturing,Europe,2020,1849.35,0.136,15933.61,0.0018,62.9,84.0,47.8,56.9,24.06,524.85,2341.2,372.29
123,Company_0123,Healthcare,Middle East-Africa,2022,840.9,0.1463,6667.06,0.0796,56.1,48.9,74.6,44.8,15.58,1191.39,1408.54,420.45
124,Company_0124,Energy,Latin America,2024,494.2,0.1281,6331.38,-0.1442,36.0,40.5,33.1,34.4,34.87,672.03,271.35,76.4
125,Company_0125,Technology,Middle East-Africa,2021,437.22,0.1329,6007.69,0.0341,45.0,45.1,40.3,49.5,21.7,256.78,1020.42,25.57
126,Company_0126,Finance,Latin America,2020,731.08,0.1781,9678.69,-0.0261,59.7,58.6,64.6,55.8,43.75,187.26,1128.97,309.92
127,Company_0127,Healthcare,Middle East-Africa,2019,563.24,0.1467,6242.13,-0.0236,41.1,30.9,40.1,52.3,38.83,611.57,1021.38,55.83
128,Company_0128,Technology,Middle East-Africa,2021,886.67,0.1825,4121.53,0.0132,57.2,56.4,58.8,56.4,37.66,992.81,697.56,254.99
129,Company_0129,Technology,Middle East-Africa,2023,2738.88,0.1303,17316.42,0.049,39.0,11.6,55.0,50.5,173.3,3712.72,8159.91,725.32
130,Company_0130,Manufacturing,Latin America,2019,842.11,0.102,2991.8,0.035,56.2,70.7,52.2,45.7,39.34,146.29,1057.83,233.31
131,Company_0131,Technology,Latin America,2019,841.89,0.1317,11929.43,-0.0245,56.8,66.7,51.4,52.4,21.55,251.21,1757.41,244.39
132,Company_0132,Energy,Middle East-Africa,2018,1084.12,0.0698,11848.94,0.1005,43.5,49.4,44.8,36.4,36.47,1016.41,2117.38,149.5
133,Company_0133,Healthcare,North America,2022,825.56,0.0972,9870.69,-0.0132,44.1,36.8,45.3,50.1,36.59,798.14,2033.13,194.14
134,Company_0134,Technology,Asia-Pacific,2021,1046.1,0.1307,7049.54,-0.0014,59.6,78.6,46.2,54.0,33.67,153.83,1291.51,197.58
135,Company_0135,Manufacturing,Asia-Pacific,2019,1601.36,0.1299,21054.43,0.0699,51.9,50.4,56.7,48.7,53.62,1050.02,3826.96,428.94
136,Company_0136,Energy,Asia-Pacific,2018,2037.19,0.1136,12457.89,0.0724,51.0,56.5,52.2,44.4,68.49,1869.79,2966.66,448.6
137,Company_0137,Retail,Latin America,2023,2213.32,0.0367,6683.62,0.0072,52.3,57.6,54.9,44.4,41.17,2507.86,3381.74,969.18
138,Company_0138,Healthcare,Latin America,2020,4627.61,0.1582,34785.68,-0.1555,49.3,64.2,40.0,43.8,73.69,2510.99,10096.44,1059.97
139,Company_0139,Technology,North America,2024,1633.62,0.1701,16089.72,-0.012,54.7,56.2,49.2,58.8,21.65,1270.08,4019.86,311.28
140,Company_0140,Manufacturing,Asia-Pacific,2024,5240.31,0.2186,45823.64,0.0613,58.9,47.0,64.5,65.1,93.1,6496.29,11356.62,1416.45
141,Company_0141,Retail,Asia-Pacific,2021,636.8,0.1465,8498.1,0.0982,39.9,26.7,50.1,42.9,21.69,914.1,1751.02,72.61
142,Company_0142,Retail,Middle East-Africa,2019,4740.51,0.1201,20217.62,0.0444,55.8,63.0,53.5,51.0,244.47,2002.58,5749.75,1237.21
143,Company_0143,Finance,Latin America,2024,840.28,0.0592,8105.25,0.0165,43.5,55.3,29.5,45.7,19.47,381.71,2312.07,15.39
144,Company_0144,Energy,Asia-Pacific,2022,900.17,0.2095,8241.76,0.2105,49.5,34.7,80.2,33.6,64.96,1274.42,744.59,315.99
145,Company_0145,Technology,North America,2024,1008.37,0.1349,6430.08,0.0239,49.6,37.8,59.7,51.2,67.14,659.75,2166.81,358.08
146,Company_0146,Manufacturing,North America,2024,941.02,0.1316,12107.87,0.0929,46.3,40.5,55.0,43.3,43.7,1040.48,1758.84,201.08
147,Company_0147,Finance,Asia-Pacific,2024,1164.55,0.1048,14014.38,-0.0435,38.8,38.9,29.7,47.9,70.68,1114.67,2022.34,28.19
148,Company_0148,Energy,Latin America,2018,730.68,0.1009,8617.91,-0.0263,52.9,67.9,42.4,48.4,26.04,365.21,933.29,146.45
149,Company_0149,Finance,North America,2019,1960.54,0.1613,26495.3,0.0953,62.3,60.2,77.0,49.8,24.65,1989.92,3449.23,976.2
150,Company_0150,Healthcare,Middle East-Africa,2022,744.73,0.0587,8693.49,0.1231,39.0,42.6,42.9,31.5,54.59,757.98,673.55,74.84
151,Company_0151,Energy,North America,2019,1735.29,0.2175,10033.59,0.0227,55.8,63.7,43.6,60.0,32.88,1612.81,2469.84,4.73
152,Company_0152,Energy,Europe,2021,3195.21,0.2045,36638.63,-0.0794,60.0,61.8,59.3,58.8,243.97,765.33,2385.87,1175.63
153,Company_0153,Technology,Europe,2021,854.08,0.0988,5715.89,0.0383,47.2,28.7,67.1,45.7,42.73,1275.35,1648.05,427.04
154,Company_0154,Energy,Latin America,2021,1912.31,0.0682,11294.3,0.0633,53.8,73.3,46.9,41.1,60.03,1263.24,1414.0,407.95
155,Company_0155,Finance,Asia-Pacific,2023,1621.99,-0.0009,6286.92,0.0569,45.1,56.9,44.3,34.1,72.48,1611.53,1461.19,451.51
156,Company_0156,Energy,Latin America,2024,5308.27,0.0449,63318.84,0.0106,51.8,50.9,43.8,60.8,239.48,7113.43,3788.34,1370.64
157,Company_0157,Technology,Latin America,2023,770.18,0.1638,8881.67,0.0393,58.3,72.4,49.9,52.5,8.96,533.43,1119.28,117.1
158,Company_0158,Technology,Latin America,2018,1913.23,0.1389,11123.53,-0.0025,49.3,34.3,57.8,55.7,66.74,2264.3,4983.78,670.92
159,Company_0159,Healthcare,Latin America,2021,351.35,0.1496,4213.62,-0.0278,35.1,12.7,41.1,51.4,21.71,513.17,972.28,40.52
160,Company_0160,Finance,Middle East-Africa,2022,775.03,0.0093,10861.31,0.1029,47.6,68.6,44.1,30.2,35.42,466.96,526.8,161.68
161,Company_0161,Retail,Middle East-Africa,2019,1404.41,0.0963,6033.85,0.0568,48.7,57.2,45.9,43.1,38.05,937.27,2930.13,234.8
162,Company_0162,Retail,North America,2024,2907.97,0.202,16841.94,0.0395,56.9,35.8,76.7,58.3,97.29,3977.55,6429.43,1453.99
163,Company_0163,Energy,Europe,2020,464.91,0.1142,5580.39,0.0145,47.1,48.1,42.9,50.3,32.74,150.4,852.84,66.95
164,Company_0164,Healthcare,Latin America,2022,1901.24,0.0437,11966.58,0.0374,50.0,59.3,48.2,42.5,88.96,266.24,4120.87,562.91
165,Company_0165,Manufacturing,North America,2024,1049.16,0.1133,11011.93,0.0612,53.3,44.3,70.1,45.5,49.29,1439.91,1137.53,524.58
166,Company_0166,Energy,Europe,2023,378.01,0.0737,1502.22,0.171,33.4,24.2,51.6,24.4,29.22,472.6,651.74,59.37
167,Company_0167,Healthcare,Asia-Pacific,2023,1245.27,0.14,10493.21,0.0958,54.1,43.9,75.2,43.2,40.42,1820.11,1839.51,622.64
168,Company_0168,Finance,Middle East-Africa,2022,3627.91,0.1212,43060.05,0.0034,68.5,79.1,63.3,63.1,158.06,658.59,2627.59,1635.72
169,Company_0169,Finance,Europe,2023,500.55,0.1526,5625.25,0.0041,50.8,46.9,50.3,55.3,33.45,159.5,1033.08,106.39
170,Company_0170,Finance,Asia-Pacific,2021,1015.41,0.0469,12977.76,-0.0068,44.1,54.7,30.5,47.2,64.1,251.25,1764.81,77.63
171,Company_0171,Finance,Europe,2018,549.69,0.0931,7436.98,0.036,49.8,59.2,44.3,46.0,15.72,580.9,652.99,93.46
172,Company_0172,Finance,Middle East-Africa,2019,789.97,0.1854,9699.38,-0.0069,55.7,59.0,49.1,59.1,16.25,749.22,1330.47,128.09
173,Company_0173,Healthcare,Middle East-Africa,2018,2988.48,0.0387,33049.72,0.0832,43.1,38.8,48.7,41.9,176.47,1802.26,7286.64,775.18
174,Company_0174,Healthcare,North America,2024,906.81,0.0598,3065.63,-0.135,38.9,62.8,25.6,28.4,25.42,163.58,2270.78,115.6
175,Company_0175,Technology,Latin America,2019,2925.14,0.132,27553.6,0.0875,44.5,26.2,59.0,48.4,218.18,2912.05,6212.45,816.93
176,Company_0176,Retail,Europe,2019,2383.53,0.1372,8228.83,0.0693,55.4,61.1,59.2,45.9,45.4,2140.81,3978.99,703.66
177,Company_0177,Finance,Europe,2018,850.72,0.0907,10801.44,0.1384,55.9,66.4,68.3,33.0,27.46,219.54,1649.87,356.15
178,Company_0178,Manufacturing,Asia-Pacific,2022,771.38,0.1033,5282.94,0.1114,48.4,55.1,53.8,36.2,10.67,1058.7,1128.17,165.71
179,Company_0179,Healthcare,Middle East-Africa,2019,585.7,0.152,5710.04,0.0021,58.3,65.7,53.8,55.5,34.69,221.7,478.16,157.12
180,Company_0180,Manufacturing,Europe,2018,571.57,0.171,3631.37,0.1035,42.9,32.6,53.0,43.1,41.37,652.11,836.8,67.11
181,Company_0181,Manufacturing,Middle East-Africa,2019,1404.23,0.0558,17398.43,0.0382,45.3,31.6,59.1,45.1,76.55,1880.41,2563.89,618.72
182,Company_0182,Manufacturing,Europe,2020,1081.55,0.1419,14750.21,-0.0854,44.3,29.4,57.4,46.0,81.81,985.58,2159.95,468.45
183,Company_0183,Technology,North America,2022,708.73,0.2107,5516.56,0.0611,53.4,56.3,51.0,53.0,13.46,315.8,2012.44,56.42
184,Company_0184,Healthcare,Latin America,2021,370.88,0.113,4953.07,0.0063,59.3,60.9,66.0,51.1,5.99,197.66,906.17,185.44
